,Date,Variable,Value
616,31/12/2018,other,0.1
617,31/12/2018,other,0.2
618,01/01/2018,SO2,0.009000000000000001
619,02/01/2018,SO2,0.009000000000000001
620,03/01/2018,SO2,0.011
621,03/01/2018,SO2,0.013
622,03/01/2018,SO2,0.008
623,04/01/2018,SO2,0.011
624,04/01/2018,SO2,0.008
625,04/01/2018,SO2,0.003
626,05/01/2018,SO2,0.003
627,05/01/2018,SO2,0.005
628,05/01/2018,SO2,0.009000000000000001
629,06/01/2018,SO2,0.005
630,06/01/2018,SO2,0.011
631,06/01/2018,SO2,0.008
632,07/01/2018,SO2,0.009000000000000001
633,08/01/2018,SO2,0.011
634,08/01/2018,SO2,0.002
635,08/01/2018,SO2,0.008
636,09/01/2018,SO2,0.006
637,09/01/2018,SO2,0.005
638,10/01/2018,SO2,0.014
639,10/01/2018,SO2,0.003
640,10/01/2018,SO2,0.009000000000000001
641,11/01/2018,SO2,0.003
642,11/01/2018,SO2,0.016
643,11/01/2018,SO2,0.01
644,12/01/2018,SO2,0.011
645,12/01/2018,SO2,0.003
646,13/01/2018,SO2,0.003
647,13/01/2018,SO2,0.002
648,14/01/2018,SO2,0.009000000000000001
649,15/01/2018,SO2,0.002
650,15/01/2018,SO2,0.006
651,15/01/2018,SO2,0.01
652,16/01/2018,SO2,0.006
653,16/01/2018,SO2,0.002
654,16/01/2018,SO2,0.005
655,17/01/2018,SO2,0.003
656,17/01/2018,SO2,0.006
657,18/01/2018,SO2,0.01
658,18/01/2018,SO2,0.014
659,18/01/2018,SO2,0.002
660,19/01/2018,SO2,0.011
661,19/01/2018,SO2,0.021
662,19/01/2018,SO2,0.014
663,20/01/2018,SO2,0.018000000000000002
664,20/01/2018,SO2,0.013
665,21/01/2018,SO2,0.009000000000000001
666,22/01/2018,SO2,0.016
667,22/01/2018,SO2,0.008
668,22/01/2018,SO2,0.002
669,23/01/2018,SO2,0.003
670,23/01/2018,SO2,0.002
671,23/01/2018,SO2,0.009000000000000001
672,24/01/2018,SO2,0.002
673,24/01/2018,SO2,0.01
674,24/01/2018,SO2,0.008
675,25/01/2018,SO2,0.006
676,25/01/2018,SO2,0.008
677,25/01/2018,SO2,0.002
678,26/01/2018,SO2,0.003
679,26/01/2018,SO2,0.011
680,26/01/2018,SO2,0.013
681,27/01/2018,SO2,0.014
682,27/01/2018,SO2,0.011
683,27/01/2018,SO2,0.016
684,28/01/2018,SO2,0.009000000000000001
685,29/01/2018,SO2,0.011
686,29/01/2018,SO2,0.01
687,30/01/2018,SO2,0.009000000000000001
688,30/01/2018,SO2,0.008
689,31/01/2018,SO2,0.003
690,31/01/2018,SO2,0.009000000000000001
691,31/01/2018,SO2,0.002
692,01/02/2018,SO2,0.003
693,01/02/2018,SO2,0.009000000000000001
694,01/02/2018,SO2,0.005
695,01/02/2018,SO2,0.006
696,02/02/2018,SO2,0.006
697,02/02/2018,SO2,0.01
698,02/02/2018,SO2,0.008
699,02/02/2018,SO2,0.009000000000000001
700,03/02/2018,SO2,0.006
701,03/02/2018,SO2,0.009000000000000001
702,03/02/2018,SO2,0.002
703,04/02/2018,SO2,0.009000000000000001
704,05/02/2018,SO2,0.009000000000000001
